state,date,constant_mobility_mean_time_varying_reproduction_number_R.t.,constant_mobility_time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..x,mobility_increase_20_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_20_time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..y,mobility_increase_40_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_40_time_varying_reproduction_number_R.t._Higher_CI_95
AK,2020-05-30,1.08929407531603,0.50593984552234,1.91756201923803,1.31547977589839,0.644748698350914,2.20632365996932,1.5760904767734,0.809415431027398,2.55011222509262
AK,2020-05-31,1.2570872461299,0.58966817124801,2.18084629235417,1.47654728369748,0.735643185196514,2.44389539894608,1.72309788891304,0.904884991148491,2.73628898708417
AK,2020-06-01,1.36265797644359,0.644442884974781,2.34566832565262,1.57820370298401,0.788052813703344,2.59840154286608,1.81729837330675,0.965507145619996,2.86001852184788
AK,2020-06-02,0.678631895214826,0.304352875095793,1.25594647093156,0.891729231817085,0.414265991622923,1.58722296344211,1.15892331654399,0.555557544987595,1.96947651567813
AK,2020-06-03,1.16608993745105,0.544039240452904,2.02986265195267,1.39135014630188,0.683507325789516,2.31700430270326,1.64793236339185,0.863168468277136,2.64018332645162
AK,2020-06-04,1.20832377994832,0.565604451099115,2.1013876108252,1.43225659186798,0.707940274109616,2.37884906591609,1.68576597586029,0.885028071371619,2.67835440718432
AK,2020-06-05,1.23319007325376,0.578034905301536,2.14305216649799,1.45597491626449,0.722766323887911,2.4101431873109,1.70726961843913,0.897658998673251,2.70457928133138
AK,2020-06-06,1.16985673403392,0.546469903281498,2.03173467283193,1.39390008887072,0.687781518882827,2.3108448757,1.64876121163591,0.858760056253298,2.63231551915411
AK,2020-06-07,1.08813148401732,0.505937670748422,1.90338181692086,1.31382520051778,0.644747860390256,2.19435023251848,1.57375764758471,0.809410573592758,2.53558351379576
AK,2020-06-08,1.25562916088586,0.589666036257718,2.1689270160956,1.4744848199026,0.735636869495756,2.43197606096232,1.72019954136763,0.904883477492942,2.71243341453919
AK,2020-06-09,1.36090266957753,0.644442021779209,2.32521526520445,1.57570272265841,0.788050384736733,2.57239622164497,1.81375544095247,0.965505862633549,2.83152359180607
AK,2020-06-10,0.677584514527711,0.304352736292778,1.2484202229453,0.890004851191383,0.41426556018715,1.57414512661385,1.15612696713173,0.555549028631082,1.94418632477133
AK,2020-06-11,1.16423667221544,0.544038181864912,2.01863955615974,1.38852171933423,0.683505849661216,2.29141524515064,1.64364193300394,0.86316580629191,2.60092205141679
AK,2020-06-12,1.20618193684641,0.565603415924397,2.0840680204092,1.42893905453245,0.70793892588458,2.34382413427976,1.68065971565174,0.885025249377933,2.64347150958768
AK,2020-06-13,1.23074734101162,0.578031123110697,2.12258613586093,1.45212962766535,0.722764946530382,2.38068426213108,1.70125716905941,0.897655446299988,2.66236137483026
AK,2020-06-14,1.16724531718491,0.546468759181054,2.0033336256475,1.38967437989776,0.687777259969949,2.27067514371395,1.64197892148375,0.858756665706574,2.56585775703499
AK,2020-06-15,1.08540389772675,0.505936497214058,1.86972913278754,1.30927335555341,0.644747322291198,2.15107497023999,1.56623476331704,0.809406595498675,2.46131806594195
AK,2020-06-16,1.25221595965085,0.58966494040873,2.124021659679,1.46883348095802,0.735632751543776,2.36847233042567,1.71091619469043,0.904882246074567,2.63485473808409
AK,2020-06-17,1.35680893059749,0.644441592612205,2.29306800818911,1.56890662744808,0.7880488381719,2.50553501279608,1.80256044043023,0.965504810311643,2.7305019076738
AK,2020-06-18,0.675133942066585,0.304352668975587,1.22054112083297,0.885331848581,0.414265300896516,1.52520596708658,1.14737952854066,0.555541902221945,1.87644267984878
AK,2020-06-19,1.15994841210363,0.544037617737757,1.9784138546958,1.38098552756899,0.683504867907864,2.21604013527769,1.6305227993325,0.861824487030103,2.47663225781775
AK,2020-06-20,1.20128385360857,0.565602864616066,2.03611543472056,1.4202658060201,0.707938027456253,2.26655231924307,1.66544803601382,0.884444203920896,2.49998135217826
AK,2020-06-21,1.22523998644046,0.578029081907468,2.06053905183238,1.44229026143087,0.722764034709006,2.282236307847,1.68384979800977,0.896477264131411,2.51389194249583
AK,2020-06-22,1.1614505015411,0.54646815891547,1.95730253078131,1.37911077335334,0.68748698703516,2.17593188398448,1.62293311932994,0.856674098993626,2.41492330045389
AK,2020-06-23,1.07945740363158,0.505935863966674,1.80989462891724,1.29817559160468,0.644550017075936,2.04539894526136,1.54577831884196,0.808467474549119,2.30246185799618
AK,2020-06-24,1.24492119715298,0.589664377938453,2.03819304959093,1.45541280100082,0.731157845565929,2.24564193237953,1.68648479355229,0.902592567661202,2.46020436545695
AK,2020-06-25,1.34826722160735,0.643618340736099,2.19126504279659,1.55324793435915,0.785746845291966,2.37182610309133,1.77414394764438,0.96068128672304,2.5663768363527
AK,2020-06-26,0.670133302084093,0.304025106089745,1.17343473754971,0.874904701517592,0.414062788577358,1.43608113772509,1.1260749457811,0.550959141271918,1.77368961936179
AK,2020-06-27,1.1513627349461,0.543681101049958,1.89190631782674,1.36454060446818,0.681671774442257,2.09097388831454,1.59939774688033,0.85054764544402,2.32074953931592
AK,2020-06-28,1.19173110515663,0.565439218473509,1.93753454722085,1.40193586529835,0.705095795822114,2.1375990024482,1.63069735072498,0.872419458897042,2.34110384226958
AK,2020-06-29,1.21477713018093,0.577773947578389,1.96300967004615,1.4221474173889,0.718057598546757,2.15460978991762,1.64554829279934,0.878413120810647,2.34157343159324
AK,2020-06-30,1.15072872148443,0.546031673167733,1.84996571982321,1.35817414259674,0.684215639238895,2.04844261702401,1.58259769830071,0.839143917354762,2.25274430596051
AK,2020-07-01,1.06873786167497,0.505487558092109,1.71946885471142,1.27686868957276,0.640168327598831,1.92597847492633,1.50404541787486,0.784125288243578,2.14561869727997
AK,2020-07-02,1.23206762671098,0.58935351661437,1.95268514537832,1.43034768814577,0.722431895157509,2.11954120064507,1.63825841919365,0.851418507054663,2.2941662032003
AK,2020-07-03,1.33361310576365,0.640147708598021,2.10204849994286,1.52488950061218,0.778898469427639,2.2341689222742,1.72000259211056,0.894749564671386,2.38915359042878
AK,2020-07-04,0.661855816256874,0.304025010887218,1.11495158754461,0.856822848457188,0.409782069225488,1.35613330033092,1.0873935402067,0.522692797685093,1.65405207982389
AK,2020-07-05,1.13730902245262,0.543078683078266,1.79555210000686,1.33636853672559,0.672820479706482,1.95973020527567,1.54382581429665,0.786468925994822,2.13906292388344
AK,2020-07-06,1.17648744316464,0.562191592755518,1.84342627748863,1.37143033681101,0.691736164781228,1.99628498179752,1.57068948725291,0.80024199826893,2.16148516388653
AK,2020-07-07,1.19849511614257,0.574015606367419,1.86316670539234,1.38955588850572,0.696344082882122,2.01105750145901,1.58151987513934,0.799266509653664,2.16597314891481
AK,2020-07-08,1.13446643721968,0.541986550621831,1.75497609267055,1.32524895965057,0.661711595941519,1.90983306354982,1.51733120357648,0.760732973004663,2.08047287354432
AK,2020-07-09,1.05286702070526,0.500776758601148,1.62934495095786,1.2442387034183,0.612344637388318,1.79534790941777,1.43856095540405,0.716467323847367,1.98504074093625
AK,2020-07-10,1.21338628508257,0.583567466943706,1.85529393361205,1.39275658538304,0.684393616218349,1.98601169744722,1.56449214224484,0.749682525235253,2.13033927337804
AK,2020-07-11,1.31275279561539,0.631967154836643,1.99321672091495,1.48330889589249,0.737034198417911,2.10494925845047,1.63941318975313,0.750559106353733,2.22722201376158
AK,2020-07-12,0.65047996448539,0.299770683053645,1.05591405975925,0.831260974370976,0.389069768343976,1.28019045843879,1.03207017545905,0.450843279909631,1.53552333942401
AK,2020-07-13,1.11802697908096,0.532397047927928,1.6982939779141,1.29672452283326,0.636550998399174,1.83805355462158,1.46519207521065,0.631944882840141,1.99138758310781
AK,2020-07-14,1.15594121945984,0.550698776042248,1.74630213405529,1.32937100097944,0.644687559015298,1.87426636507022,1.48794250085684,0.612346734565515,2.0180129063864
AK,2020-07-15,1.17692406321141,0.560105795882546,1.76343950524276,1.34551637850489,0.646311282018943,1.88769356663371,1.49545174792548,0.57592684204319,2.02294828844913
AK,2020-07-16,1.11330180832294,0.529911433314114,1.66438250026661,1.28168061749904,0.609464954077653,1.79235773365461,1.43185675019502,0.531146103284757,1.94513137266631
AK,2020-07-17,1.0325436661872,0.488705179286965,1.54618407829002,1.20190274685433,0.567679000040864,1.68762221104225,1.35490260566678,0.475507088260164,1.8512078309748
AK,2020-07-18,1.18973623815452,0.563653336290047,1.76433605615625,1.34472492379287,0.633178441455658,1.87329534952856,1.47214775518437,0.48003542385421,2.00272487205565
AK,2020-07-19,1.28667975646096,0.609268457087538,1.89045032229643,1.43108355690679,0.660588530118278,1.99040103732675,1.54076951058827,0.470565280640905,2.09328766133096
AK,2020-07-20,0.636627423384313,0.2936258661326,0.99575237191378,0.800094298357876,0.35469227526569,1.20538822681201,0.966509262055336,0.294642800665974,1.44365750555625
AK,2020-07-21,1.09451834380675,0.519171036689405,1.61160721658191,1.24856128904014,0.565968814059788,1.73197415479868,1.37288751910447,0.381865622882888,1.87954704841721
AK,2020-07-22,1.13119796127679,0.534102187243661,1.65287747142583,1.27913749795364,0.562113493785206,1.77241226209985,1.39282581850205,0.369605405385929,1.90907339911127
AK,2020-07-23,1.15127221188022,0.538348164242949,1.67654664387243,1.29381374720815,0.551732039437167,1.78797674934903,1.39852701680529,0.354357659246305,1.92208154557446
AK,2020-07-24,1.08847786383899,0.507668429905975,1.58137469956224,1.23144452472669,0.503097394888405,1.70080752193245,1.3375595755519,0.325016062816366,1.84497923781848
